Timestamp,Min Temp (°C),Max Temp (°C),Avg Temp (°C)
2025-05-18 07:05:10,28.43,36.86,34.05
2025-05-18 07:05:20,28.62,37.79,34.73
2025-05-18 07:05:30,28.33,39.92,36.05
2025-05-18 07:05:40,28.11,34.31,32.24
2025-05-18 07:05:50,27.97,33.04,31.35
2025-05-18 07:06:00,27.99,34.65,32.43
2025-05-18 07:06:10,28.24,34.70,32.54
2025-05-18 07:06:20,27.96,34.20,32.12
2025-05-18 07:06:30,27.97,33.78,31.84
2025-05-18 07:06:40,27.91,33.38,31.55
2025-05-18 07:06:50,27.93,33.72,31.79
2025-05-18 07:07:00,28.11,34.00,32.04
2025-05-18 07:07:10,28.12,35.55,33.07
2025-05-18 07:07:20,28.09,35.13,32.78
2025-05-18 07:07:30,28.26,37.56,34.46
2025-05-18 07:07:40,27.61,35.71,33.01
2025-05-18 07:07:50,27.98,33.81,31.87
2025-05-18 07:08:00,28.03,35.62,33.09
2025-05-18 07:08:10,27.87,35.57,33.01
2025-05-18 07:08:20,28.36,37.17,34.23
2025-05-18 07:08:30,27.95,35.84,33.21
2025-05-18 07:08:40,28.23,35.95,33.38
2025-05-18 07:08:50,28.21,35.81,33.28
2025-05-18 07:09:00,28.32,38.56,35.15
2025-05-18 07:09:10,28.73,40.73,36.73
2025-05-18 07:09:20,28.43,40.22,36.29
2025-05-18 07:09:30,28.34,36.59,33.84
2025-05-18 07:09:40,27.96,36.75,33.82
2025-05-18 07:09:50,28.52,38.58,35.23
2025-05-18 07:10:00,28.46,35.57,33.20
2025-05-18 07:10:10,28.12,35.29,32.90
2025-05-18 07:10:20,27.99,33.99,31.99
2025-05-18 07:10:30,27.78,33.84,31.82
2025-05-18 07:10:40,28.09,34.77,32.55
2025-05-18 07:10:50,28.01,34.81,32.55
2025-05-18 07:11:00,27.62,33.90,31.80
2025-05-18 07:11:10,27.87,33.18,31.41
2025-05-18 07:11:20,28.13,33.29,31.57
2025-05-18 07:11:30,28.01,34.00,32.00
2025-05-18 07:11:40,28.11,35.02,32.72
2025-05-18 07:11:50,27.96,34.91,32.59
2025-05-18 07:12:00,28.09,36.94,33.99
2025-05-18 07:12:10,27.95,33.21,31.46
2025-05-18 07:12:20,27.65,32.49,30.87
2025-05-18 07:12:30,28.08,34.60,32.43
2025-05-18 07:12:40,28.04,33.68,31.80
2025-05-18 07:12:50,28.00,32.75,31.16
2025-05-18 07:13:00,27.95,33.00,31.32
2025-05-18 07:13:10,28.17,34.09,32.11
2025-05-18 07:13:20,28.04,35.76,33.19
2025-05-18 07:13:30,28.03,33.33,31.56
2025-05-18 07:13:40,27.81,34.48,32.25
2025-05-18 07:13:50,27.87,33.09,31.35
2025-05-18 07:14:00,27.73,33.49,31.57
2025-05-18 07:14:10,28.16,36.74,33.88
2025-05-18 07:14:20,28.58,38.27,35.04
2025-05-18 07:14:30,28.85,40.22,36.43
2025-05-18 07:14:40,28.47,38.06,34.86
2025-05-18 07:14:50,28.07,36.45,33.66
2025-05-18 07:15:00,28.43,36.71,33.95
2025-05-18 07:15:10,28.30,36.01,33.44
2025-05-18 07:15:20,27.74,33.14,31.34
2025-05-18 07:15:30,28.06,33.66,31.79
2025-05-18 07:15:40,28.09,33.95,32.00
2025-05-18 07:15:50,27.95,36.29,33.51
2025-05-18 07:16:00,28.72,38.84,35.47
2025-05-18 07:16:10,28.51,39.05,35.54
2025-05-18 07:16:21,28.12,36.36,33.62
2025-05-18 07:16:31,28.35,35.19,32.91
2025-05-18 07:16:41,27.73,33.91,31.85
2025-05-18 07:16:51,28.10,37.23,34.18
2025-05-18 07:17:01,27.92,33.80,31.84
2025-05-18 07:17:11,28.06,34.66,32.46
2025-05-18 07:17:21,28.26,36.51,33.76
2025-05-18 07:17:31,28.41,38.33,35.03
2025-05-18 07:17:41,28.61,39.47,35.85
2025-05-18 07:17:51,28.89,42.70,38.10
2025-05-18 07:18:01,28.39,39.51,35.80
2025-05-18 07:18:11,27.99,35.17,32.78
2025-05-18 07:18:21,27.93,35.90,33.25
2025-05-18 07:18:31,28.31,38.92,35.39
2025-05-18 07:18:41,28.29,38.38,35.02
2025-05-18 07:18:51,28.52,40.44,36.47
2025-05-18 07:19:01,28.06,38.39,34.95
2025-05-18 07:19:11,29.05,44.27,39.19
2025-05-18 07:19:21,29.52,50.00,43.18
2025-05-18 07:19:31,28.77,45.51,39.93
2025-05-18 07:19:41,27.84,37.80,34.48
2025-05-18 07:19:51,27.87,39.24,35.45
2025-05-18 07:20:01,28.15,37.99,34.71
2025-05-18 07:20:11,27.78,36.01,33.26
2025-05-18 07:20:21,27.78,33.37,31.51
2025-05-18 07:20:31,27.46,33.81,31.69
2025-05-18 07:20:41,27.67,33.85,31.79
2025-05-18 07:20:51,28.33,39.60,35.84
2025-05-18 07:21:01,28.13,36.33,33.59
2025-05-18 07:21:11,27.98,35.35,32.89
2025-05-18 07:21:21,27.82,32.88,31.19
2025-05-18 07:21:31,27.93,34.18,32.10
2025-05-18 07:21:41,27.32,36.00,33.11
2025-05-18 07:21:51,28.20,37.98,34.72
2025-05-18 07:22:01,28.19,38.96,35.37
2025-05-18 07:22:11,27.56,33.34,31.41
2025-05-18 07:22:21,27.69,33.96,31.87
